slug,title,pack_term,required_sections_complete,min_internal_links_met,sources_complete,metadata_complete,slug_valid,no_dead_links,language_redlines_ok,no_duplicate_conflict,search_indexed,pack_coverage_ok,score,rating
"bedeutung-als-gebrauch","Bedeutung als Gebrauch",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"bedingungsloses-grundeinkommen","Bedingungsloses Grundeinkommen",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"bedrohungsverarbeitung","Bedrohungsverarbeitung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"begrenzte-rationalitaet","Begrenzte Rationalität",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"behoerde","Behörde",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"beitragsbasis","Beitragsbasis",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"beitragsluecke","Beitragslücke",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"belohnungslernen","Belohnungslernen",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"benchmark","Benchmark",true,1,1,1,1,1,0,1,1,1,1,9,"gut, kleine redaktionelle TODOs"
"beobachterabhaengigkeit","Beobachterabhängigkeit",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"beobachtung-zweiter-ordnung","Beobachtung zweiter Ordnung",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"berichtsdaten","Berichtsdaten",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"beschaffung-als-wirkungshebel","Beschaffung als Wirkungshebel",true,0,1,1,1,1,1,1,1,1,1,9,"gut, kleine redaktionelle TODOs"
"beschwerdemechanismus-access-to-remedy","Beschwerdemechanismus / Access to Remedy",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"bestaetigungsfehler","Bestätigungsfehler",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"bewegungs-ngo","Bewegungs-NGO",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"bidirektionales-laden","Bidirektionales Laden",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"bilanzraum","Bilanzraum",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"biochemische-rohstoffgewinnung","Biochemische Rohstoffgewinnung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"biodiversitaetsrisiko","Biodiversitätsrisiko",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"biodiversity-net-gain-no-net-loss","Biodiversity Net Gain / No Net Loss",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"bioenergie","Bioenergie",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"biogas","Biogas",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"biologischer-kreislauf","Biologischer Kreislauf",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"biologischer-naehrstoff","Biologischer Nährstoff",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"black-mass","Black Mass",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"blauer-wasserstoff","Blauer Wasserstoff",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"blei-saeure-batterie","Blei-Säure-Batterie",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"blindleistung","Blindleistung",true,1,1,1,1,1,0,1,1,1,1,9,"gut, kleine redaktionelle TODOs"
"buergerbeteiligung","Bürgerbeteiligung",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"buergerenergie","Bürgerenergie",false,1,1,1,0,1,1,1,1,1,1,9,"gut, kleine redaktionelle TODOs"
"buergerenergiegesellschaft","Bürgerenergiegesellschaft",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"buergerinitiative","Bürgerinitiative",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"buergerrat","Bürgerrat",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"bundesregierung","Bundesregierung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"business-model","Business Model",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"business-model-canvas","Business Model Canvas",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"business-value","Business Value",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"c-rate","C-Rate",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"capture-price","Capture Price / Marktwert von Strom",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"carbon-budget","Carbon Budget",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"carbon-credits","Carbon Credits",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"carbonfaserverstaerkter-kunststoff","Carbonfaserverstärkter Kunststoff / CFK",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"care-oekonomie","Care-Ökonomie",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"cbam","CBAM / Carbon Border Adjustment Mechanism",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"ccs-ladestecker","CCS",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"chademo","CHAdeMO",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"checks-and-balances","Checks and Balances",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"chicago-school","Chicago School",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"circular-economy-butterfly-model","Circular Economy Butterfly Model",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"civic-literacy","Civic Literacy",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"clean-industrial-deal","Clean Industrial Deal",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"climate-neutral-claim","Climate Neutral Claim",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"co2-preis","CO2-Preis",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"co2e","CO2e / CO2-Äquivalent",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"coase-theorem","Coase-Theorem",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"commons","Commons",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"commons-gemeingueter","Commons / Gemeingüter",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"conflict-minerals-regulation","Conflict Minerals Regulation",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"contracts-for-difference","Contracts for Difference / CfD",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"cooling-off-regel","Cooling-off-Regel",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"corporate-capture","Corporate Capture",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"cradle-to-cradle","Cradle to Cradle",true,1,1,1,1,1,1,1,1,1,1,10,"veroeffentlichungsreif"
"cradle-to-gate","Cradle-to-Gate",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"cradle-to-grave","Cradle-to-Grave",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"csddd","CSDDD",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"cso","CSO",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"csrd","CSRD",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"dao","Dao / Tao",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"dark-money","Dark Money",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"daseinsvorsorge","Daseinsvorsorge",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"datenluecke","Datenlücke",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"datenqualitaet","Datenqualität",true,1,1,1,1,1,0,1,1,1,1,9,"gut, kleine redaktionelle TODOs"
"dc-laden","DC-Laden",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"degradation-batterie","Degradation",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"deliberation","Deliberation",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"deliberative-demokratie","Deliberative Demokratie",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"demand-response","Demand Response",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"demokratie","Demokratie",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"demokratiefeindlichkeit","Demokratiefeindlichkeit",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"demokratiekompetenz","Demokratiekompetenz",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"demokratieprinzip","Demokratieprinzip",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"demokratiequalitaet","Demokratiequalität",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"demokratieskepsis","Demokratieskepsis",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"demokratische-erosion","Demokratische Erosion",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"demokratische-korrekturfaehigkeit","Demokratische Korrekturfähigkeit",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"demokratische-oeffentlichkeit","Demokratische Öffentlichkeit",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"demokratische-resilienz","Demokratische Resilienz",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"demokratische-rueckkopplung","Demokratische Rückkopplung",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"demokratische-wirkungsarchitektur","Demokratische Wirkungsarchitektur",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"demokratischer-sozialismus","Demokratischer Sozialismus",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"demokratisches-mandat","Demokratisches Mandat",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"depotladen","Depotladen",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"deregulierung","Deregulierung",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"design-for-disassembly","Design for Disassembly",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"design-thinking","Design Thinking",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"destruktive-vertrauensbindung","Destruktive Vertrauensbindung",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"destruktives-narrativ","Destruktives Narrativ",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"dezentralisierung","Dezentralisierung",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"dezentralisierung-von-macht","Dezentralisierung von Macht",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"diffusion","Diffusion",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"digitale-selbstbestimmung","Digitale Selbstbestimmung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"digitaler-produktpass","Digitaler Produktpass",true,1,1,1,1,1,0,1,1,1,1,9,"gut, kleine redaktionelle TODOs"
"digitalisierung","Digitalisierung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"diktatur","Diktatur",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"direkte-demokratie","Direkte Demokratie",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"direktrecycling-batterie","Direktrecycling",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"diskriminierungsverbot","Diskriminierungsverbot",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"diskursfaehigkeit","Diskursfähigkeit",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"dissonanzreduktion","Dissonanzreduktion",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"dnsh","DNSH / Do No Significant Harm",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"dominanzlogik","Dominanzlogik",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"donella-meadows","Donella Meadows",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"donor-dependency","Donor Dependency",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"doppelte-wesentlichkeit","Doppelte Wesentlichkeit",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"downcycling","Downcycling",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"drehtuer-effekt","Drehtür-Effekt",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"dunkelflaute","Dunkelflaute",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"dynamischer-stromtarif","Dynamischer Stromtarif",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"dynamisches-lastmanagement","Dynamisches Lastmanagement",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"eeg","EEG",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"effektivitaet","Effektivität",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"effektivitaet-vs-effizienz","Effektivität vs. Effizienz",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"effizienz","Effizienz",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"efrag","EFRAG",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"ehrliche-preise","Ehrliche Preise",true,0,1,1,1,1,0,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"eichrecht-ladeinfrastruktur","Eichrecht Ladeinfrastruktur",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"eigentum-verpflichtet","Eigentum verpflichtet",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"eigentumsrechte","Eigentumsrechte",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"eigentumsverantwortung","Eigentumsverantwortung",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"eigenversorgung","Eigenversorgung",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"einparteienstaat","Einparteienstaat",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"einspeisemanagement","Einspeisemanagement",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"einspeiseverguetung","Einspeisevergütung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"elektorale-autokratie","Elektorale Autokratie",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"elektromobilitaet","Elektromobilität",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"elektromobilitaetsdienstleister","Elektromobilitätsdienstleister / EMP",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"elinor-ostrom","Elinor Ostrom",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"emergenz","Emergenz",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"emissionsfaktor","Emissionsfaktor",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"emissionshandel","Emissionshandel",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"emotionale-arbeit","Emotionale Arbeit",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"emotionsregulation","Emotionsregulation",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"empowering-consumers-green-transition","Empowering Consumers for the Green Transition",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"endenergie","Endenergie",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"energie","Energie",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"energiearmut","Energiearmut",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"energieautonomie","Energieautonomie",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"energiedichte","Energiedichte",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"energieeffizienz","Energieeffizienz",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"energiegemeinschaft","Energiegemeinschaft",false,1,1,1,0,1,1,1,1,1,1,9,"gut, kleine redaktionelle TODOs"
"energiegenossenschaft","Energiegenossenschaft",false,1,1,1,0,1,1,1,1,1,1,9,"gut, kleine redaktionelle TODOs"
"energieinfrastruktur","Energieinfrastruktur",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"energiemanagementsystem","Energiemanagementsystem / EMS",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"energiesicherheit","Energiesicherheit",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"energieumwandlung","Energieumwandlung",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"energiewirtschaft","Energiewirtschaft",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"energiewirtschaftsgesetz","Energiewirtschaftsgesetz / EnWG",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"energy-only-markt","Energy-only-Markt",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"energy-sharing","Energy Sharing",false,1,1,1,0,1,1,1,1,1,1,9,"gut, kleine redaktionelle TODOs"
"enterprise-risk-management-nach-wirkung","Enterprise Risk Management nach Wirkung",true,0,1,1,1,1,1,1,1,1,1,9,"gut, kleine redaktionelle TODOs"
"entfremdung","Entfremdung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"entmenschlichung","Entmenschlichung",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"entropie","Entropie",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"environmental-product-declaration","Environmental Product Declaration / EPD",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"epd","EPD / Environmental Product Declaration",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"epistemische-gemeinschaft","Epistemische Gemeinschaft",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
