rang,tool_name,description,status,target_slug,required_fields,qa_status
13,Planetarer Wirkungshaushalt,"Klima, Energie, Ressourcen, Wasser, Boden und Biodiversitaet als Wirkungshaushalt.",Methodik vorbereitet,/tools/planetarer-wirkungshaushalt/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
14,Kultur-Resonanzprofil,"Bewertung von Resonanzraeumen, Identitaet, kultureller Teilhabe und Demokratiebindung.",Methodik vorbereitet,/tools/kultur-resonanzprofil/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
15,Integrations-Infrastruktur-Score,Kommunale Integrationsfaehigkeit ohne Personenbewertung.,Methodik vorbereitet,/tools/integrations-infrastruktur-score/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
16,Resilienz-Radar Kommune,"Pruefung von kritischer Infrastruktur, Versorgung, Cyber, Krisenfaehigkeit und Vertrauen.",Methodik vorbereitet,/tools/resilienz-radar-kommune/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
17,Wirkungsdatenraum-Explorer,"Datenraeume, DPP, KI-Audit, Interoperabilitaet und digitale Souveraenitaet.",Methodik vorbereitet,/tools/wirkungsdatenraum-explorer/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
18,Wissensintegritaets-Check,"Open Science, CoARA/DORA-Anschluss, Replikation, Statistik und Sachverstaendige.",Methodik vorbereitet,/tools/wissensintegritaets-check/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
19,Globaler Wirkungsgovernance-Check,"Handel, Lieferketten, CBAM, globale Standards und kulturelle Anschlussfaehigkeit.",Methodik vorbereitet,/tools/globaler-wirkungsgovernance-check/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
20,Transformationspfad-Planer,"Pilotierung, Reallabore, soziale Abfederung, Wirkungsfonds und Lernschleifen.",Methodik vorbereitet,/tools/transformationspfad-planer/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
21,Schutzarchitektur-Check,"Technokratie, Social Credit, Manipulation, Rechtsschutz und Fehlbarkeit.",Methodik vorbereitet,/tools/schutzarchitektur-check/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
22,Zukunftsbild-Generator,"Alltag 2035, Unternehmen 2035, Staat 2035 und globale Ordnung 2050 als Szenarioarbeit.",Methodik vorbereitet,/tools/zukunftsbild-generator/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
23,Akademie-Lernpfad-Builder,"Kurse, Zertifikate, Fachbibliothek, Begriffsarbeit und Wirkungskompetenz.",Methodik vorbereitet,/tools/akademie-lernpfad-builder/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
24,Website-1.0-Release-Gate,"Linkcheck, Downloadcheck, Glossarcheck, Mobile-QA und Masterbibliothek.",Release-Tool in Vorbereitung,/tools/website-1-0-release-gate/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
