rang,portal,bereichstyp,status,active_package,website_status,notes
14,"Kultur, Identitaet & Resonanz",Fachportal,Bestand pruefen / nachliefern,,Fachteam-Integration und QA erforderlich,"Website 1.0 erst nach Linkcheck, Downloadcheck, Mobile-QA und Sichtpruefung freigeben."
15,Migration & Vielfalt,Fachportal,Paket vorhanden,WÖk_Rang15_Migration-und-Vielfalt_Gesamtpaket_v1.0.zip,Fachteam-Integration und QA erforderlich,"Website 1.0 erst nach Linkcheck, Downloadcheck, Mobile-QA und Sichtpruefung freigeben."
16,"Sicherheit, Resilienz & globale Kooperation",Fachportal,Paket vorhanden,WÖk_Rang16_Sicherheit-Resilienz_Gesamtpaket_v1.0.zip,Fachteam-Integration und QA erforderlich,"Website 1.0 erst nach Linkcheck, Downloadcheck, Mobile-QA und Sichtpruefung freigeben."
17,"Digitalisierung, KI & Wirkungsdatenraeume",Fachportal,Paket vorhanden,WÖk_Rang17_Digitalisierung-KI-Wirkungsdatenraeume_Gesamtpaket_v2.1_LANGFASSUNG.zip,Fachteam-Integration und QA erforderlich,"Website 1.0 erst nach Linkcheck, Downloadcheck, Mobile-QA und Sichtpruefung freigeben."
18,"Wissen, Wissenschaft, Forschung & Wirkungsinnovation",Fachportal,Paket vorhanden,WÖk_Rang18_Wissen-Wissenschaft-Forschung-Wirkungsinnovation_Gesamtpaket_v1.0.zip,Fachteam-Integration und QA erforderlich,"Website 1.0 erst nach Linkcheck, Downloadcheck, Mobile-QA und Sichtpruefung freigeben."
19,"Internationale Ordnung, Globalisierung & Geopolitik",Fachportal,Paket vorhanden,WÖk_Rang19_Internationale-Ordnung-Globalisierung-Geopolitik_Gesamtpaket_v1.0.zip,Fachteam-Integration und QA erforderlich,"Website 1.0 erst nach Linkcheck, Downloadcheck, Mobile-QA und Sichtpruefung freigeben."
20,"Transformation, Uebergaenge & Implementierung",Infrastruktur,Paket vorhanden,WÖk_Rang20_Transformation-Uebergaenge-Implementierung_Gesamtpaket_v1.0_FINAL.zip,Fachteam-Integration und QA erforderlich,"Website 1.0 erst nach Linkcheck, Downloadcheck, Mobile-QA und Sichtpruefung freigeben."
21,"Kritik, Missverstaendnisse & Schutzarchitektur",Infrastruktur,Paket vorhanden,WÖk_Rang21_Kritik-Missverstaendnisse-Schutzarchitektur_Gesamtpaket_v1.0.zip,Fachteam-Integration und QA erforderlich,"Website 1.0 erst nach Linkcheck, Downloadcheck, Mobile-QA und Sichtpruefung freigeben."
22,"Zukunftsbilder, Wirkungswohlstand & zivilisatorische Perspektive",Infrastruktur,Paket vorhanden,WÖk_Rang22_Zukunftsbilder-Wirkungswohlstand-Zivilisatorische-Perspektive_Gesamtpaket_v1.0.zip,Fachteam-Integration und QA erforderlich,"Website 1.0 erst nach Linkcheck, Downloadcheck, Mobile-QA und Sichtpruefung freigeben."
23,"Wirkungsakademie, Fachbibliothek & Wirkungskompetenz",Infrastruktur,Paket vorhanden,WÖk_Rang23_Wirkungsakademie-Fachbibliothek-Wirkungskompetenz_Gesamtpaket_v1.0.zip,Fachteam-Integration und QA erforderlich,"Website 1.0 erst nach Linkcheck, Downloadcheck, Mobile-QA und Sichtpruefung freigeben."
24,"Masterbibliothek, Downloadzentrum & Website-1.0-Releasepruefung",Release,Releasepaket,,Fachteam-Integration und QA erforderlich,"Website 1.0 erst nach Linkcheck, Downloadcheck, Mobile-QA und Sichtpruefung freigeben."
