Gesamtfolge;Produktionspaket;Position im Paket;Phase;Phasentitel;Rang;Portal / Bereich;Unterbereich;Dokumenttyp;Priorität;Komplexität;Abhängigkeit / Vorleistung;Warum in dieser Reihenfolge;Slug;Status;Nächster Schritt
11;5;1;Phase 3;Recht, Staat & demokratische Sicherung;3;Staat, Recht & Demokratie / WStG / Wirkungsrat;Staat als Wirkungsarchitektur;Fach-/Rechts-Detailkonzept;P1;mittel;"SDG-/SDG+-Referenzrahmen; WStG/WUStG-Logik; Wirkungsrat";Rechtliche Klammer, Governance und Schutz vor Technokratie.;staat-als-wirkungsarchitektur;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
12;5;2;Phase 3;Recht, Staat & demokratische Sicherung;3;Staat, Recht & Demokratie / WStG / Wirkungsrat;Wirkungssteuergesetz WStG als Rahmengesetz;Fach-/Rechts-Detailkonzept;P1;hoch;"SDG-/SDG+-Referenzrahmen; WStG/WUStG-Logik; Wirkungsrat";Rechtliche Klammer, Governance und Schutz vor Technokratie.;wirkungssteuergesetz-wstg-als-rahmengesetz;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
13;5;3;Phase 3;Recht, Staat & demokratische Sicherung;3;Staat, Recht & Demokratie / WStG / Wirkungsrat;Wirkungsrat und Governance;Fach-/Rechts-Detailkonzept;P1;hoch;"SDG-/SDG+-Referenzrahmen; WStG/WUStG-Logik; Wirkungsrat";Rechtliche Klammer, Governance und Schutz vor Technokratie.;wirkungsrat-und-governance;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
14;6;1;Phase 3;Recht, Staat & demokratische Sicherung;3;Staat, Recht & Demokratie / WStG / Wirkungsrat;Wirkungshaushalt und öffentliche Mittel;Fach-/Rechts-Detailkonzept;P1;hoch;"SDG-/SDG+-Referenzrahmen; WStG/WUStG-Logik; Wirkungsrat";Rechtliche Klammer, Governance und Schutz vor Technokratie.;wirkungshaushalt-und-oeffentliche-mittel;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
15;6;2;Phase 3;Recht, Staat & demokratische Sicherung;3;Staat, Recht & Demokratie / WStG / Wirkungsrat;Rechtsschutz, Verhältnismäßigkeit und Grundrechte;Fach-/Rechts-Detailkonzept;P1;hoch;"SDG-/SDG+-Referenzrahmen; WStG/WUStG-Logik; Wirkungsrat";Rechtliche Klammer, Governance und Schutz vor Technokratie.;rechtsschutz-verhaeltnismaessigkeit-und-grundrechte;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
16;6;3;Phase 3;Recht, Staat & demokratische Sicherung;3;Staat, Recht & Demokratie / WStG / Wirkungsrat;Wirkungsprüfung von Gesetzen;Fach-/Rechts-Detailkonzept;P1;hoch;"SDG-/SDG+-Referenzrahmen; WStG/WUStG-Logik; Wirkungsrat";Rechtliche Klammer, Governance und Schutz vor Technokratie.;wirkungspruefung-von-gesetzen;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
17;7;1;Phase 3;Recht, Staat & demokratische Sicherung;3;Staat, Recht & Demokratie / WStG / Wirkungsrat;Demokratie, Rechtsstaat und SDG+;Fach-/Rechts-Detailkonzept;P1;hoch;"SDG-/SDG+-Referenzrahmen; WStG/WUStG-Logik; Wirkungsrat";Rechtliche Klammer, Governance und Schutz vor Technokratie.;demokratie-rechtsstaat-und-sdg;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
18;8;1;Phase 4;Finanzsystem, Wirkungsfonds & Steuerarchitektur;12;Finanzsystem & Kapital;Kapitalwirkung statt Kapitalrendite;Fach-Detailkonzept;P1;hoch;"WStG/WUStG; T-SROI/NWI/WÖk-IDs; Finanzmarktanforderungen";Finanzierung, Kapitalzugang, Fonds und Risiko sind Umsetzungshebel.;kapitalwirkung-statt-kapitalrendite;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
19;8;2;Phase 4;Finanzsystem, Wirkungsfonds & Steuerarchitektur;12;Finanzsystem & Kapital;Wirkungsfonds als Dacharchitektur;Fach-Detailkonzept;P1;hoch;"WStG/WUStG; T-SROI/NWI/WÖk-IDs; Finanzmarktanforderungen";Finanzierung, Kapitalzugang, Fonds und Risiko sind Umsetzungshebel.;wirkungsfonds-als-dacharchitektur;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
20;8;3;Phase 4;Finanzsystem, Wirkungsfonds & Steuerarchitektur;12;Finanzsystem & Kapital;Banken, Wirkungskredite und EBA-Anschluss;Fach-Detailkonzept;P1;hoch;"WStG/WUStG; T-SROI/NWI/WÖk-IDs; Finanzmarktanforderungen";Finanzierung, Kapitalzugang, Fonds und Risiko sind Umsetzungshebel.;banken-wirkungskredite-und-eba-anschluss;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
21;9;1;Phase 4;Finanzsystem, Wirkungsfonds & Steuerarchitektur;12;Finanzsystem & Kapital;Versicherungen, Versicherbarkeit und Resilienz;Fach-Detailkonzept;P1;hoch;"WStG/WUStG; T-SROI/NWI/WÖk-IDs; Finanzmarktanforderungen";Finanzierung, Kapitalzugang, Fonds und Risiko sind Umsetzungshebel.;versicherungen-versicherbarkeit-und-resilienz;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
22;9;2;Phase 4;Finanzsystem, Wirkungsfonds & Steuerarchitektur;12;Finanzsystem & Kapital;Portfolio-Wirkungsrating und Kapitalwirkungsindex;Fach-Detailkonzept;P1;hoch;"WStG/WUStG; T-SROI/NWI/WÖk-IDs; Finanzmarktanforderungen";Finanzierung, Kapitalzugang, Fonds und Risiko sind Umsetzungshebel.;portfolio-wirkungsrating-und-kapitalwirkungsindex;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
23;9;3;Phase 4;Finanzsystem, Wirkungsfonds & Steuerarchitektur;12;Finanzsystem & Kapital;Steuer- und Abgabenarchitektur des Kapitals;Fach-Detailkonzept;P1;hoch;"WStG/WUStG; T-SROI/NWI/WÖk-IDs; Finanzmarktanforderungen";Finanzierung, Kapitalzugang, Fonds und Risiko sind Umsetzungshebel.;steuer--und-abgabenarchitektur-des-kapitals;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
24;10;1;Phase 4;Finanzsystem, Wirkungsfonds & Steuerarchitektur;12;Finanzsystem & Kapital;Automatisierungsdividende und Maschinenwertschöpfung;Fach-Detailkonzept;P1;hoch;"WStG/WUStG; T-SROI/NWI/WÖk-IDs; Finanzmarktanforderungen";Finanzierung, Kapitalzugang, Fonds und Risiko sind Umsetzungshebel.;automatisierungsdividende-und-maschinenwertschoepfung;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
25;10;2;Phase 4;Finanzsystem, Wirkungsfonds & Steuerarchitektur;12;Finanzsystem & Kapital;Wirkungsaufsicht, Kapitalmissbrauch und toxische Finanzprodukte;Fach-Detailkonzept;P1;hoch;"WStG/WUStG; T-SROI/NWI/WÖk-IDs; Finanzmarktanforderungen";Finanzierung, Kapitalzugang, Fonds und Risiko sind Umsetzungshebel.;wirkungsaufsicht-kapitalmissbrauch-und-toxische-finanzprodukte;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
26;10;3;Phase 4;Finanzsystem, Wirkungsfonds & Steuerarchitektur;12;Finanzsystem & Kapital;ESG-Ratings, Börsen und Impact Exchange;Fach-Detailkonzept;P2;mittel/niedrig;"WStG/WUStG; T-SROI/NWI/WÖk-IDs; Finanzmarktanforderungen";Finanzierung, Kapitalzugang, Fonds und Risiko sind Umsetzungshebel.;esg-ratings-boersen-und-impact-exchange;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
27;11;1;Phase 4;Finanzsystem, Wirkungsfonds & Steuerarchitektur;12;Finanzsystem & Kapital;Bürger:innenfonds, Wirkungsrente und Teilhabe am Kapital;Fach-Detailkonzept;P2;hoch;"WStG/WUStG; T-SROI/NWI/WÖk-IDs; Finanzmarktanforderungen";Finanzierung, Kapitalzugang, Fonds und Risiko sind Umsetzungshebel.;buerger-innenfonds-wirkungsrente-und-teilhabe-am-kapital;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
28;11;2;Phase 4;Finanzsystem, Wirkungsfonds & Steuerarchitektur;12;Finanzsystem & Kapital;Finanzkompetenz 2.0 und demokratische Kontrolle;Fach-Detailkonzept;P2;mittel/niedrig;"WStG/WUStG; T-SROI/NWI/WÖk-IDs; Finanzmarktanforderungen";Finanzierung, Kapitalzugang, Fonds und Risiko sind Umsetzungshebel.;finanzkompetenz-2.0-und-demokratische-kontrolle;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
29;12;1;Phase 5;Wirtschaft & Unternehmen;4;Wirtschaft & Unternehmen;Unternehmen als Wirkungssysteme;Fach-Detailkonzept;P1;mittel;"Produkte/WUStG; Impact Controlling; Finanzmarktanforderungen";Unternehmen setzen Daten, Lieferketten, Steuerung und Führung praktisch um.;unternehmen-als-wirkungssysteme;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
30;12;2;Phase 5;Wirtschaft & Unternehmen;4;Wirtschaft & Unternehmen;Wirkungsorientierte Unternehmensführung;Fach-Detailkonzept;P1;mittel;"Produkte/WUStG; Impact Controlling; Finanzmarktanforderungen";Unternehmen setzen Daten, Lieferketten, Steuerung und Führung praktisch um.;wirkungsorientierte-unternehmensfuehrung;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
31;12;3;Phase 5;Wirtschaft & Unternehmen;4;Wirtschaft & Unternehmen;Impact Controlling im Unternehmen;Fach-Detailkonzept;P1;mittel;"Produkte/WUStG; Impact Controlling; Finanzmarktanforderungen";Unternehmen setzen Daten, Lieferketten, Steuerung und Führung praktisch um.;impact-controlling-im-unternehmen;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
32;13;1;Phase 5;Wirtschaft & Unternehmen;4;Wirtschaft & Unternehmen;Risikomanagement und Wirkungsrisiko;Fach-Detailkonzept;P1;mittel;"Produkte/WUStG; Impact Controlling; Finanzmarktanforderungen";Unternehmen setzen Daten, Lieferketten, Steuerung und Führung praktisch um.;risikomanagement-und-wirkungsrisiko;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
33;13;2;Phase 5;Wirtschaft & Unternehmen;4;Wirtschaft & Unternehmen;Resiliente Wertschöpfungsketten;Fach-Detailkonzept;P1;mittel;"Produkte/WUStG; Impact Controlling; Finanzmarktanforderungen";Unternehmen setzen Daten, Lieferketten, Steuerung und Führung praktisch um.;resiliente-wertschoepfungsketten;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
34;13;3;Phase 5;Wirtschaft & Unternehmen;4;Wirtschaft & Unternehmen;Einkauf, Lieferketten und Due Diligence;Fach-Detailkonzept;P1;mittel;"Produkte/WUStG; Impact Controlling; Finanzmarktanforderungen";Unternehmen setzen Daten, Lieferketten, Steuerung und Führung praktisch um.;einkauf-lieferketten-und-due-diligence;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
35;14;1;Phase 5;Wirtschaft & Unternehmen;4;Wirtschaft & Unternehmen;Finanzmarktanforderungen, Banken, ESG-Ratings und Versicherungen;Fach-Detailkonzept;P1;hoch;"Produkte/WUStG; Impact Controlling; Finanzmarktanforderungen";Unternehmen setzen Daten, Lieferketten, Steuerung und Führung praktisch um.;finanzmarktanforderungen-banken-esg-ratings-und-versicherungen;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
36;14;2;Phase 5;Wirtschaft & Unternehmen;4;Wirtschaft & Unternehmen;Produktentwicklung und Produktscorecards;Fach-Detailkonzept;P2;mittel/niedrig;"Produkte/WUStG; Impact Controlling; Finanzmarktanforderungen";Unternehmen setzen Daten, Lieferketten, Steuerung und Führung praktisch um.;produktentwicklung-und-produktscorecards;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
37;14;3;Phase 5;Wirtschaft & Unternehmen;4;Wirtschaft & Unternehmen;Wirkungsorientierte Mitarbeiterführung;Fach-Detailkonzept;P2;mittel/niedrig;"Produkte/WUStG; Impact Controlling; Finanzmarktanforderungen";Unternehmen setzen Daten, Lieferketten, Steuerung und Führung praktisch um.;wirkungsorientierte-mitarbeiterfuehrung;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
38;15;1;Phase 5;Wirtschaft & Unternehmen;4;Wirtschaft & Unternehmen;Organisation, Kultur und Wirkungskompetenz;Fach-Detailkonzept;P2;mittel/niedrig;"Produkte/WUStG; Impact Controlling; Finanzmarktanforderungen";Unternehmen setzen Daten, Lieferketten, Steuerung und Führung praktisch um.;organisation-kultur-und-wirkungskompetenz;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
39;15;2;Phase 5;Wirtschaft & Unternehmen;4;Wirtschaft & Unternehmen;Marketing und das fünfte P Planet;Fach-Detailkonzept;P2;mittel/niedrig;"Produkte/WUStG; Impact Controlling; Finanzmarktanforderungen";Unternehmen setzen Daten, Lieferketten, Steuerung und Führung praktisch um.;marketing-und-das-fuenfte-p-planet;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
40;16;1;Phase 6;Arbeit, Einkommen & Automatisierung;6;Arbeit & Einkommen / Automatisierung;Automatisierung und Maschinenleistung;Fach-Detailkonzept;P1;hoch;"WEstG; Sozialabgabenlogik; Finanzsystem/Wirkungsfonds";Automatisierung, Sozialabgaben und Wirkungseinkommen sind zentrale Systembrüche.;automatisierung-und-maschinenleistung;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
41;16;2;Phase 6;Arbeit, Einkommen & Automatisierung;6;Arbeit & Einkommen / Automatisierung;Wirkungseinkommen;Fach-Detailkonzept;P1;hoch;"WEstG; Sozialabgabenlogik; Finanzsystem/Wirkungsfonds";Automatisierung, Sozialabgaben und Wirkungseinkommen sind zentrale Systembrüche.;wirkungseinkommen;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
42;16;3;Phase 6;Arbeit, Einkommen & Automatisierung;6;Arbeit & Einkommen / Automatisierung;Wirkungseinkommensteuer WEstG;Fach-Detailkonzept;P1;hoch;"WEstG; Sozialabgabenlogik; Finanzsystem/Wirkungsfonds";Automatisierung, Sozialabgaben und Wirkungseinkommen sind zentrale Systembrüche.;wirkungseinkommensteuer-westg;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
43;17;1;Phase 6;Arbeit, Einkommen & Automatisierung;6;Arbeit & Einkommen / Automatisierung;Sozialabgaben-Entkopplung;Fach-Detailkonzept;P1;hoch;"WEstG; Sozialabgabenlogik; Finanzsystem/Wirkungsfonds";Automatisierung, Sozialabgaben und Wirkungseinkommen sind zentrale Systembrüche.;sozialabgaben-entkopplung;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
44;17;2;Phase 6;Arbeit, Einkommen & Automatisierung;6;Arbeit & Einkommen / Automatisierung;Maschinenwertschöpfungsbeitrag;Fach-Detailkonzept;P1;mittel;"WEstG; Sozialabgabenlogik; Finanzsystem/Wirkungsfonds";Automatisierung, Sozialabgaben und Wirkungseinkommen sind zentrale Systembrüche.;maschinenwertschoepfungsbeitrag;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
45;17;3;Phase 6;Arbeit, Einkommen & Automatisierung;6;Arbeit & Einkommen / Automatisierung;Wirkungsdividende und Wirkungsfonds;Fach-Detailkonzept;P1;hoch;"WEstG; Sozialabgabenlogik; Finanzsystem/Wirkungsfonds";Automatisierung, Sozialabgaben und Wirkungseinkommen sind zentrale Systembrüche.;wirkungsdividende-und-wirkungsfonds;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
46;18;1;Phase 6;Arbeit, Einkommen & Automatisierung;6;Arbeit & Einkommen / Automatisierung;Arbeit, Einkommen und Wirkung;Fach-Detailkonzept;P2;mittel/niedrig;"WEstG; Sozialabgabenlogik; Finanzsystem/Wirkungsfonds";Automatisierung, Sozialabgaben und Wirkungseinkommen sind zentrale Systembrüche.;arbeit-einkommen-und-wirkung;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
47;18;2;Phase 6;Arbeit, Einkommen & Automatisierung;6;Arbeit & Einkommen / Automatisierung;Care, Bildung, Ehrenamt und Wirkleistung;Fach-Detailkonzept;P2;mittel/niedrig;"WEstG; Sozialabgabenlogik; Finanzsystem/Wirkungsfonds";Automatisierung, Sozialabgaben und Wirkungseinkommen sind zentrale Systembrüche.;care-bildung-ehrenamt-und-wirkleistung;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
48;18;3;Phase 6;Arbeit, Einkommen & Automatisierung;6;Arbeit & Einkommen / Automatisierung;Übergang, Qualifizierung und Resilienz;Fach-Detailkonzept;P2;mittel/niedrig;"WEstG; Sozialabgabenlogik; Finanzsystem/Wirkungsfonds";Automatisierung, Sozialabgaben und Wirkungseinkommen sind zentrale Systembrüche.;uebergang-qualifizierung-und-resilienz;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
49;19;1;Phase 6;Arbeit, Einkommen & Automatisierung;6;Arbeit & Einkommen / Automatisierung;Plattformen, Daten, KI und Arbeit;Fach-Detailkonzept;P2;mittel/niedrig;"WEstG; Sozialabgabenlogik; Finanzsystem/Wirkungsfonds";Automatisierung, Sozialabgaben und Wirkungseinkommen sind zentrale Systembrüche.;plattformen-daten-ki-und-arbeit;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
50;20;1;Phase 7;Rente & soziale Sicherung;7;Rente & soziale Sicherung;Wirkungsrente und Lebenswirkungs-Konto;Fach-Detailkonzept;P1;hoch;"Arbeit/Einkommen; Wirkungsfonds; Lebenswirkungs-Konto";Die soziale Sicherung folgt aus Arbeit, Kapital und Wirkung.;wirkungsrente-und-lebenswirkungs-konto;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
51;20;2;Phase 7;Rente & soziale Sicherung;7;Rente & soziale Sicherung;Wirkungsfonds Alters- und Sozialstabilität;Fach-Detailkonzept;P1;hoch;"Arbeit/Einkommen; Wirkungsfonds; Lebenswirkungs-Konto";Die soziale Sicherung folgt aus Arbeit, Kapital und Wirkung.;wirkungsfonds-alters--und-sozialstabilitaet;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
52;20;3;Phase 7;Rente & soziale Sicherung;7;Rente & soziale Sicherung;Demografische Resilienz und Automatisierung;Fach-Detailkonzept;P1;hoch;"Arbeit/Einkommen; Wirkungsfonds; Lebenswirkungs-Konto";Die soziale Sicherung folgt aus Arbeit, Kapital und Wirkung.;demografische-resilienz-und-automatisierung;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
53;21;1;Phase 7;Rente & soziale Sicherung;7;Rente & soziale Sicherung;Übergang vom Umlagesystem zur Wirkungsarchitektur;Fach-Detailkonzept;P1;mittel;"Arbeit/Einkommen; Wirkungsfonds; Lebenswirkungs-Konto";Die soziale Sicherung folgt aus Arbeit, Kapital und Wirkung.;uebergang-vom-umlagesystem-zur-wirkungsarchitektur;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
54;21;2;Phase 7;Rente & soziale Sicherung;7;Rente & soziale Sicherung;Private und betriebliche Vorsorge unter Wirkungsbedingungen;Fach-Detailkonzept;P2;mittel/niedrig;"Arbeit/Einkommen; Wirkungsfonds; Lebenswirkungs-Konto";Die soziale Sicherung folgt aus Arbeit, Kapital und Wirkung.;private-und-betriebliche-vorsorge-unter-wirkungsbedingungen;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
55;21;3;Phase 7;Rente & soziale Sicherung;7;Rente & soziale Sicherung;Altersarmut, Teilhabe, Gesundheit und Wohnen im Alter;Fach-Detailkonzept;P2;mittel/niedrig;"Arbeit/Einkommen; Wirkungsfonds; Lebenswirkungs-Konto";Die soziale Sicherung folgt aus Arbeit, Kapital und Wirkung.;altersarmut-teilhabe-gesundheit-und-wohnen-im-alter;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
56;22;1;Phase 7;Rente & soziale Sicherung;7;Rente & soziale Sicherung;Lebensleistung, Care und Ehrenamt;Fach-Detailkonzept;P2;mittel/niedrig;"Arbeit/Einkommen; Wirkungsfonds; Lebenswirkungs-Konto";Die soziale Sicherung folgt aus Arbeit, Kapital und Wirkung.;lebensleistung-care-und-ehrenamt;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
57;23;1;Phase 8;Wohnen & Stadt;5;Wohnen & Stadt;Investor:innen, Vermieter:innen und Eigentümer:innen;Fach-Detailkonzept;P1;mittel;"Kapitalwirkung; WIX-Wohn; Wohnen-Basis; Investor:innen-Dokument als Referenz";Wohnen ist gesellschaftlich greifbar und verbindet Kapital, Stadt, Energie, Teilhabe.;investor-innen-vermieter-innen-und-eigentuemer-innen;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
58;23;2;Phase 8;Wohnen & Stadt;5;Wohnen & Stadt;Miete und Bezahlbarkeit;Fach-Detailkonzept;P1;mittel;"Kapitalwirkung; WIX-Wohn; Wohnen-Basis; Investor:innen-Dokument als Referenz";Wohnen ist gesellschaftlich greifbar und verbindet Kapital, Stadt, Energie, Teilhabe.;miete-und-bezahlbarkeit;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
