WOK_ID,SDG_or_SDGplus,Target,Indikatorfamilie,Item,Definition,Einheit,Polarity,Rule_ID,Schwellen,Schwellenkategorie,Schwellenstatus,Grenzwertbasis,Benchmarkbedarf,Quelle_detail,Quellenfunktion,Quellenstatus,Source_IDs,NACE_Legacy,NACE_Version,NACE_Rev2.1,NACE_Status,Systemgrenze,Berechnungslogik,Datenqualitätsanforderung,Assurance_Anforderung,Fachlogik_Status,Prüfpriorität,Prüfhinweis,Version,Gültig_ab,Gültig_bis
WOK-G-102,SDG 1 – Keine Armut,1.b,Pay Ratio & Fairness,Pay Ratio & Fairness – Whistleblowing,Wirksamkeits‑Score,0–1,higher_is_better,R16,"≥0,9:+3; 0,75–0,89:+2; 0,6–0,74:0; 0,4–0,59:‑2; <0,4:‑3",Feste WÖk-Kalibrierung,Arbeitskalibrierung – fachlich zu validieren,WÖk-interne Klassenlogik,Optional/Nein,"ESRS G1, GRI 205/207, OECD Anti‑Bribery","Mess-, Berichts- oder Managementrahmen; Schwellen sind grundsätzlich WÖk-Kalibrierungen",Messgrundlage belegt; Schwellenkalibrierung offen,EU-ESRS; GRI; OECD-AB,G47 Handel; K Versicherungen; M72 F&E,Legacy / nicht explizit versioniert,,Migration auf NACE Rev. 2.1 erforderlich,Organisation/Governance; konsolidierter Kreis und relevante Rechtseinheiten,Siehe Quelle: Definition gemäß Standard (ESRS/GRI/Taxonomie/ISO).,Primärdaten bevorzugt; Sekundärdaten nur transparent und versioniert; Methode und Systemgrenze dokumentieren,Limited Assurance; risikobasiert höhere Prüftiefe,Strukturell nutzbar; Schwellen fachlich zu validieren,Mittel,Vollständige fünfstufige numerische Regel.,v1.4,2026-08-16,
WOK-G-103,SDG 1 – Keine Armut,1.b,Pay Ratio & Fairness,Pay Ratio & Fairness – Steuertransparenz,CbCR‑Offenlegung,0–1,higher_is_better,R08,vollständig:+3; teilweise:+2; minimal:0; schlecht:‑2,Qualitativ,Assurance und Kriterienkatalog erforderlich,WÖk-interne Kategorien,Optional/Nein,"ESRS G1, GRI 205/207, OECD Anti‑Bribery","Mess-, Berichts- oder Managementrahmen; Schwellen sind grundsätzlich WÖk-Kalibrierungen",Messgrundlage belegt; Schwellenkalibrierung offen,EU-ESRS; GRI; OECD-AB,G47 Handel; K Versicherungen; M72 F&E,Legacy / nicht explizit versioniert,,Migration auf NACE Rev. 2.1 erforderlich,Organisation/Governance; konsolidierter Kreis und relevante Rechtseinheiten,Siehe Quelle: Definition gemäß Standard (ESRS/GRI/Taxonomie/ISO).,Dokumentierter Kriterienkatalog; nachvollziehbare Evidenz; DQR A/B bevorzugt,Unabhängige Fachprüfung/Limited Assurance; bei roten Linien Reasonable Assurance,Prüfung/Parametrisierung erforderlich,Hoch,Die Kategorie −3 fehlt; Vollständigkeit und Wirksamkeit sind feldspezifisch zu definieren.,v1.4,2026-08-16,
WOK-S-107,SDG 1 – Keine Armut,1.b,Lokale Beschaffung benachteiligte Gruppen,Lokale Beschaffung benachteiligte Gruppen – ESG‑Spend‑Coverage,Anteil verifizierter ESG‑Daten am Spend,%,higher_is_better,R26,≥90:+3; 70–89:+2; 50–69:0; 30–49:‑2; <30:‑3,Feste WÖk-Kalibrierung,Arbeitskalibrierung – fachlich zu validieren,WÖk-interne Klassenlogik,Optional/Nein,ESRS S2; GRI 308/414/408/409,"Mess-, Berichts- oder Managementrahmen; Schwellen sind grundsätzlich WÖk-Kalibrierungen",Messgrundlage belegt; Schwellenkalibrierung offen,EU-ESRS; GRI; OECD-DD; ILO-CORE,G47 Handel; K Versicherungen; M72 F&E,Legacy / nicht explizit versioniert,,Migration auf NACE Rev. 2.1 erforderlich,"Eigene Belegschaft/Organisation; FTE, Beschäftigtengruppe und Zeitraum",Quote = Zähler / Nenner gemäß Quelle; in %.,Primärdaten bevorzugt; Sekundärdaten nur transparent und versioniert; Methode und Systemgrenze dokumentieren,Limited Assurance; risikobasiert höhere Prüftiefe,Strukturell nutzbar; Schwellen fachlich zu validieren,Mittel,Vollständige fünfstufige numerische Regel.,v1.4,2026-08-16,
WOK-S-108,SDG 1 – Keine Armut,1.b,Lokale Beschaffung benachteiligte Gruppen,Lokale Beschaffung benachteiligte Gruppen – Kinder/Zwangsarbeit,Audits ohne Verstöße,% Lieferanten,higher_is_better,R28,≥98:+3; 90–97:+2; 75–89:0; 50–74:‑2; <50:‑3,Feste WÖk-Kalibrierung,Arbeitskalibrierung – fachlich zu validieren,WÖk-interne Klassenlogik,Optional/Nein,"ESRS S2, GRI 308/414, OECD Due Diligence","Mess-, Berichts- oder Managementrahmen; Schwellen sind grundsätzlich WÖk-Kalibrierungen",Messgrundlage belegt; Schwellenkalibrierung offen,EU-ESRS; GRI; OECD-DD; ILO-CORE,G47 Handel; K Versicherungen; M72 F&E,Legacy / nicht explizit versioniert,,Migration auf NACE Rev. 2.1 erforderlich,"Eigene Belegschaft/Organisation; FTE, Beschäftigtengruppe und Zeitraum",Quote = Zähler / Nenner gemäß Quelle; in %.,Primärdaten bevorzugt; Sekundärdaten nur transparent und versioniert; Methode und Systemgrenze dokumentieren,Limited Assurance; risikobasiert höhere Prüftiefe,Strukturell nutzbar; Schwellen fachlich zu validieren,Mittel,Vollständige fünfstufige numerische Regel.,v1.4,2026-08-16,
WOK-S-109,SDG 1 – Keine Armut,1.b,Lokale Beschaffung benachteiligte Gruppen,Lokale Beschaffung benachteiligte Gruppen – Scope‑3 Daten,Primärdaten‑Abdeckung,% Kategorien,higher_is_better,R23,≥80:+3; 60–79:+2; 40–59:0; 20–39:‑2; <20:‑3,Feste WÖk-Kalibrierung,Arbeitskalibrierung – fachlich zu validieren,WÖk-interne Klassenlogik,Optional/Nein,"ESRS E1, GHG Protocol (Corporate/Scope 1–3), ISO 14064/14067","Mess-, Berichts- oder Managementrahmen; Schwellen sind grundsätzlich WÖk-Kalibrierungen",Messgrundlage belegt; Schwellenkalibrierung offen,EU-ESRS; GHG-CORP; GHG-S3; GHG-PROD,G47 Handel; K Versicherungen; M72 F&E,Legacy / nicht explizit versioniert,,Migration auf NACE Rev. 2.1 erforderlich,"Eigene Belegschaft/Organisation; FTE, Beschäftigtengruppe und Zeitraum",Quote = Zähler / Nenner gemäß Quelle; in %.,Primärdaten bevorzugt; Sekundärdaten nur transparent und versioniert; Methode und Systemgrenze dokumentieren,Limited Assurance; risikobasiert höhere Prüftiefe,Strukturell nutzbar; Schwellen fachlich zu validieren,Mittel,Vollständige fünfstufige numerische Regel.,v1.4,2026-08-16,
WOK-SYS-101,SDG 1 – Keine Armut,1.a,Gemeinwohl‑Investitionen (Armut),Gemeinwohl‑Investitionen (Armut) – Index,umsatzgewichteter Index (z. B. Demokratie/Rule of Law),0–1,higher_is_better,R15,"≥0,8:+3; 0,7–0,79:+2; 0,6–0,69:0; 0,5–0,59:‑2; <0,5:‑3",Feste WÖk-Kalibrierung,Arbeitskalibrierung – fachlich zu validieren,WÖk-interne Klassenlogik,Optional/Nein,"SDG 16/17, WJP, V‑Dem",Methodischer Platzhalter; konkrete Fach- und Primärdatenquelle erforderlich,Platzhalter – fachliche Operationalisierung offen,INT-WOEK-TSROI; SVI-SROI; UN-SDG,G47 Handel; K Versicherungen; M72 F&E,Legacy / nicht explizit versioniert,,Migration auf NACE Rev. 2.1 erforderlich,"Programm/Portfolio/Systemraum; Empfängergruppe, Region und Zeitraum explizit definieren",Siehe Quelle: Definition gemäß Standard (ESRS/GRI/Taxonomie/ISO).,Primärdaten bevorzugt; Sekundärdaten nur transparent und versioniert; Methode und Systemgrenze dokumentieren,Limited Assurance; risikobasiert höhere Prüftiefe,Fachlogik nicht abschließend operationalisiert,Kritisch,SROI/SDG 17 ist keine hinreichend konkrete Mess- oder Schwellenquelle. Vollständige fünfstufige numerische Regel.,v1.4,2026-08-16,
WOK-SYS-102,SDG 1 – Keine Armut,1.a,Gemeinwohl‑Investitionen (Armut),Gemeinwohl‑Investitionen (Armut) – Exposure,Umsatz in Hochrisikoländern,%,lower_is_better,R13,≤5:+3; 6–10:+2; 11–20:0; 21–30:‑2; >30:‑3,Feste WÖk-Kalibrierung,Arbeitskalibrierung – fachlich zu validieren,WÖk-interne Klassenlogik,Optional/Nein,SROI/SDG17,Methodischer Platzhalter; konkrete Fach- und Primärdatenquelle erforderlich,Platzhalter – fachliche Operationalisierung offen,INT-WOEK-TSROI; SVI-SROI; UN-SDG,G47 Handel; K Versicherungen; M72 F&E,Legacy / nicht explizit versioniert,,Migration auf NACE Rev. 2.1 erforderlich,"Programm/Portfolio/Systemraum; Empfängergruppe, Region und Zeitraum explizit definieren",Siehe Quelle: Definition gemäß Standard (ESRS/GRI/Taxonomie/ISO).,Primärdaten bevorzugt; Sekundärdaten nur transparent und versioniert; Methode und Systemgrenze dokumentieren,Limited Assurance; risikobasiert höhere Prüftiefe,Fachlogik nicht abschließend operationalisiert,Kritisch,SROI/SDG 17 ist keine hinreichend konkrete Mess- oder Schwellenquelle. Vollständige fünfstufige numerische Regel.,v1.4,2026-08-16,
WOK-SYS-103,SDG 1 – Keine Armut,1.a,Gemeinwohl‑Investitionen (Armut),Gemeinwohl‑Investitionen (Armut) – Kooperationen,"aktive, evaluierte Partnerschaften/Jahr",#/Jahr,higher_is_better,R20,≥5:+3; 3–4:+2; 1–2:0; 0:‑2,Feste WÖk-Grobkalibrierung,Klasse −3 nur für negative/unzulässige Werte ergänzt,WÖk-interne Grobkalibrierung,Optional/Nein,"SDG 16/17, WJP, V‑Dem",Methodischer Platzhalter; konkrete Fach- und Primärdatenquelle erforderlich,Platzhalter – fachliche Operationalisierung offen,INT-WOEK-TSROI; SVI-SROI; UN-SDG,G47 Handel; K Versicherungen; M72 F&E,Legacy / nicht explizit versioniert,,Migration auf NACE Rev. 2.1 erforderlich,"Programm/Portfolio/Systemraum; Empfängergruppe, Region und Zeitraum explizit definieren",Siehe Quelle: Definition gemäß Standard (ESRS/GRI/Taxonomie/ISO).,Primärdaten bevorzugt; Sekundärdaten nur transparent und versioniert; Methode und Systemgrenze dokumentieren,Limited Assurance; risikobasiert höhere Prüftiefe,Fachlogik nicht abschließend operationalisiert,Kritisch,SROI/SDG 17 ist keine hinreichend konkrete Mess- oder Schwellenquelle. Für sachlogisch nichtnegative Zählwerte ist 0 die schlechteste reguläre Klasse (−2).,v1.4,2026-08-16,
WOK-S-110,SDG 1 – Keine Armut,1.2,Unterbeschäftigung & Prekarität,Unterbeschäftigung & Prekarität – Living Wage,Abdeckung Lebenslohn,% Beschäftigte,higher_is_better,R27,≥95:+3; 80–94:+2; 60–79:0; 40–59:‑2; <40:‑3,Feste WÖk-Kalibrierung,Arbeitskalibrierung – fachlich zu validieren,WÖk-interne Klassenlogik,Optional/Nein,"ESRS S1, GRI 401/403/405/406, ILO","Mess-, Berichts- oder Managementrahmen; Schwellen sind grundsätzlich WÖk-Kalibrierungen",Messgrundlage belegt; Schwellenkalibrierung offen,EU-ESRS; GRI; ISO-45001; ILO-LW; ILO-CORE,G47 Handel; K Versicherungen; M72 F&E,Legacy / nicht explizit versioniert,,Migration auf NACE Rev. 2.1 erforderlich,"Eigene Belegschaft/Organisation; FTE, Beschäftigtengruppe und Zeitraum",Anteil Beschäftigte ≥ Living Wage (zertifizierte Methodik).,Primärdaten bevorzugt; Sekundärdaten nur transparent und versioniert; Methode und Systemgrenze dokumentieren,Limited Assurance; risikobasiert höhere Prüftiefe,Strukturell nutzbar; Schwellen fachlich zu validieren,Mittel,Vollständige fünfstufige numerische Regel.,v1.4,2026-08-16,
WOK-S-111,SDG 1 – Keine Armut,1.2,Unterbeschäftigung & Prekarität,Unterbeschäftigung & Prekarität – Tarifbindung,Beschäftigte unter Kollektivvertrag,%,higher_is_better,R26,≥90:+3; 70–89:+2; 50–69:0; 30–49:‑2; <30:‑3,Feste WÖk-Kalibrierung,Arbeitskalibrierung – fachlich zu validieren,WÖk-interne Klassenlogik,Optional/Nein,"ESRS S1, GRI 401/403/405/406, ILO","Mess-, Berichts- oder Managementrahmen; Schwellen sind grundsätzlich WÖk-Kalibrierungen",Messgrundlage belegt; Schwellenkalibrierung offen,EU-ESRS; GRI; ISO-45001; ILO-LW; ILO-CORE,G47 Handel; K Versicherungen; M72 F&E,Legacy / nicht explizit versioniert,,Migration auf NACE Rev. 2.1 erforderlich,"Eigene Belegschaft/Organisation; FTE, Beschäftigtengruppe und Zeitraum",Quote = Zähler / Nenner gemäß Quelle; in %.,Primärdaten bevorzugt; Sekundärdaten nur transparent und versioniert; Methode und Systemgrenze dokumentieren,Limited Assurance; risikobasiert höhere Prüftiefe,Strukturell nutzbar; Schwellen fachlich zu validieren,Mittel,Vollständige fünfstufige numerische Regel.,v1.4,2026-08-16,
WOK-S-112,SDG 1 – Keine Armut,1.2,Unterbeschäftigung & Prekarität,Unterbeschäftigung & Prekarität – LTIFR,Arbeitsunfälle pro Mio Stunden,Unfälle/Mio Std.,lower_is_better,R02,0:+3; ≤1:+2; ≤3:0; ≤5:‑2; >5:‑3,Feste WÖk-Kalibrierung,Arbeitskalibrierung – fachlich zu validieren,WÖk-interne Klassenlogik,Optional/Nein,"ESRS S1, GRI 401/403/405/406, ILO","Mess-, Berichts- oder Managementrahmen; Schwellen sind grundsätzlich WÖk-Kalibrierungen",Messgrundlage belegt; Schwellenkalibrierung offen,EU-ESRS; GRI; ISO-45001; ILO-LW; ILO-CORE,G47 Handel; K Versicherungen; M72 F&E,Legacy / nicht explizit versioniert,,Migration auf NACE Rev. 2.1 erforderlich,"Eigene Belegschaft/Organisation; FTE, Beschäftigtengruppe und Zeitraum",LTIFR = Unfälle mit Ausfallzeit / 1 Mio. Std. (ILO/GRI 403).,Primärdaten bevorzugt; Sekundärdaten nur transparent und versioniert; Methode und Systemgrenze dokumentieren,Limited Assurance; risikobasiert höhere Prüftiefe,Strukturell nutzbar; Schwellen fachlich zu validieren,Mittel,Vollständige fünfstufige numerische Regel.,v1.4,2026-08-16,
WOK-G-104,SDG 1 – Keine Armut,1.a,Steuertransparenz für Sozialstaat,Steuertransparenz für Sozialstaat – Antikorruption,Bestätigte Fälle/1.000 FTE,Fälle/1.000 FTE,lower_is_better,R01,"0:+3; ≤0,2:+2; ≤0,5:0; ≤1:‑2; >1:‑3",Feste WÖk-Kalibrierung,Arbeitskalibrierung – fachlich zu validieren,WÖk-interne Klassenlogik,Optional/Nein,"ESRS G1, GRI 205/207, OECD Anti‑Bribery","Mess-, Berichts- oder Managementrahmen; Schwellen sind grundsätzlich WÖk-Kalibrierungen",Messgrundlage belegt; Schwellenkalibrierung offen,EU-ESRS; GRI; OECD-AB,G47 Handel; K Versicherungen; M72 F&E,Legacy / nicht explizit versioniert,,Migration auf NACE Rev. 2.1 erforderlich,Organisation/Governance; konsolidierter Kreis und relevante Rechtseinheiten,Siehe Quelle: Definition gemäß Standard (ESRS/GRI/Taxonomie/ISO).,Primärdaten bevorzugt; Sekundärdaten nur transparent und versioniert; Methode und Systemgrenze dokumentieren,Limited Assurance; risikobasiert höhere Prüftiefe,Strukturell nutzbar; Schwellen fachlich zu validieren,Mittel,Vollständige fünfstufige numerische Regel.,v1.4,2026-08-16,
